product,category,avg_price,nb_concurrents,nb_occurrences,cat_total_products,cat_avg_price,cat_nb_concurrents,feat_cat_popularity,feat_price_distance,feat_occurrence_score,feat_concurrent_coverage,predicted_category,confidence_score,correct_prediction,cat_score,feat_price_attractiveness,product_score,niveau_recommandation
a-porte clés en argent,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.7384312029512957,0.9361352459390611,Priorite haute
a-boucles corail,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.7384312029512957,0.9361352459390611,Priorite haute
a-boucle feuille,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.7384312029512957,0.9361352459390611,Priorite haute
a-boucles papillon,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.7384312029512957,0.9361352459390611,Priorite haute
a-plastron berbère,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.7384312029512957,0.9361352459390611,Priorite haute
a-collier berbère cuir,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,0.97,True,0.8390456193049876,0.8383790658901887,0.9361326390860056,Priorite haute
a-collier sejnene et bois,bijoux,50.0,1,1,488,92.91122950819673,1,1.0,0.46185191255658864,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.6840638175525797,0.9359168766691253,Priorite haute
a-boucles filigrane,bijoux,50.0,1,1,488,92.91122950819673,1,1.0,0.46185191255658864,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.6840638175525797,0.9359168766691253,Priorite haute
a-médaillon nacre,bijoux,100.0,1,1,488,92.91122950819673,1,1.0,0.07629616412386117,1.0,1.0,bijoux,0.95,True,0.8390456193049876,0.9291122957908444,0.9356693005810385,Priorite haute
a-personnalisation lunettes,bijoux,100.0,1,1,488,92.91122950819673,1,1.0,0.07629616412386117,1.0,1.0,bijoux,0.95,True,0.8390456193049876,0.9291122957908444,0.9356693005810385,Priorite haute
a-collier rectangle,bijoux,100.0,1,1,488,92.91122950819673,1,1.0,0.07629616412386117,1.0,1.0,bijoux,0.95,True,0.8390456193049876,0.9291122957908444,0.9356693005810385,Priorite haute
a-pendentif bleu céramique,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,0.98,True,0.8390456193049876,0.7689897267080171,0.9351631721268971,Priorite haute
a-boucles poisson omrane,bijoux,56.0,1,1,488,92.91122950819673,1,1.0,0.39727414335493466,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.7156791705877725,0.934997644320885,Priorite haute
