productPK,product,productCode,categoryFK,startDate,endDate,flag
233,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
234,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
235,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
236,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
237,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
238,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
239,Coffret Mathred + Lance Parfum + Chapelet,CMM,525,2026-04-21 19:46:07.906,,y
240,Stylos LilasDream,STL,525,2026-04-21 19:46:07.906,,y
241,Photophore Sidi Bousaid T1,Ph-T1,525,2026-04-21 19:46:07.906,,y
242,Photophore Sidi Bousaid T2,Ph-T2,525,2026-04-21 19:46:07.906,,y
243,Photophore Sidi Bousaid T3,Ph-T3,525,2026-04-21 19:46:07.906,,y
244,Photophore Sidi Bousaid T4,Ph-T4,525,2026-04-21 19:46:07.906,,y
245,Trio Bougies Sidi Bousaid,TB-01,525,2026-04-21 19:46:07.906,,y
246,Thermos à paille,TP-001,525,2026-04-21 19:46:07.906,,y
247,Personnalisation,Pers-1,525,2026-04-21 19:46:07.906,,y
248,Tote Bag personnalisé,TOT-001,525,2026-04-21 19:46:07.906,,y
249,Bonbonniére en verre craquelé + Cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
250,Bonbonnière Verre + Cuivre 1,BON-001,525,2026-04-21 19:46:07.906,,y
251,Bonbonnière Verre + Cuivre 2,BON-002,525,2026-04-21 19:46:07.906,,y
252,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
253,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
254,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
255,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
256,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
257,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.906,,y
258,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
259,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.906,,y
260,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
261,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.906,,y
262,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
263,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
264,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
265,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
266,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
267,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
268,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
269,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
270,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
271,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
272,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
273,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
274,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
275,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
276,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
277,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.907,,y
278,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
279,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
280,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
281,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
282,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
283,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
284,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
285,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
286,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
287,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.907,,y
288,Coffret Mathred + Lance Parfum + Chapelet,CMM,525,2026-04-21 19:46:07.907,,y
289,Stylos LilasDream,STL,525,2026-04-21 19:46:07.907,,y
290,Photophore Sidi Bousaid T1,Ph-T1,525,2026-04-21 19:46:07.907,,y
