supplierFK,productFK,documentFK,dateFK,quantity,price,remise,total_ht,tva,timbre
40,6307,0,20240315,0,0,0,894,0,0
56,6307,1330,20250102,0,0,0,1000,0,0
57,6307,1376,20250121,0,0,0,2350,0,0
58,6307,0,20250128,0,0,0,"35,294",0,0
59,6307,1327,20250123,0,0,0,1250,0,0
60,6307,0,20250106,0,0,0,"386,56",0,0
82,6307,0,20250124,0,0,0,"2860,5",0,0
62,6307,1368,20250127,0,0,0,37,0,0
63,6307,1389,20250217,0,0,0,1948,0,0
64,6307,1390,20250224,0,0,0,50,0,0
65,6307,1375,20250219,0,0,0,2900,0,0
66,6307,0,20250221,0,0,0,"205,607",0,0
67,6307,1416,20250221,0,0,0,"332,8",0,0
68,6307,1418,20250211,0,0,0,14,0,0
68,6307,1419,20250227,0,0,0,130,0,0
69,6307,0,20250205,0,0,0,"1836,2",0,0
15,6307,1353,20250226,0,0,0,13050,0,0
70,6307,1359,20250203,0,0,0,"164,4",0,0
74,6307,1412,20250228,0,0,0,"305,883",0,0
67,6307,1417,20250205,0,0,0,"1634,465",0,0
71,6307,0,20250210,0,0,0,52,0,0
15,6307,1350,20250212,0,0,0,426,0,0
25,6307,0,20250212,0,0,0,96,0,0
55,6307,1421,20250213,0,0,0,255,0,0
72,6307,0,20250218,0,0,0,92,0,0
73,6307,1334,20250228,0,0,0,"1 630,000",0,0
73,6307,1335,20250313,0,0,0,"1 150,450",0,0
64,6307,1391,20250310,0,0,0,100,0,0
12,6307,1376,20250325,0,0,0,13458,0,0
73,6307,1332,20250327,0,0,0,108,0,0
23,6307,1339,20250201,0,0,0,"75,63",0,0
23,6307,1340,20250301,0,0,0,"25,21",0,0
74,6307,1413,20250331,0,0,0,"198,32",0,0
75,6307,0,20250201,0,0,0,"50,848",0,0
75,6307,0,20250301,0,0,0,"38,792",0,0
76,6307,1371,20250203,0,0,0,720,0,0
77,6307,1363,20250327,0,0,0,"49,58",0,0
12,6307,1377,20250420,0,0,0,17391,0,0
15,6307,0,20250402,0,0,0,18700,0,0
55,6307,1423,20250422,0,0,0,405,0,0
74,6307,1415,20250430,0,0,0,"193,277",0,0
78,6307,0,20250523,0,0,0,111.87,0,0
55,6307,1429,20250506,0,0,0,240,0,0
74,6307,1414,20250531,0,0,0,"141,177",0,0
79,6307,0,20250718,0,0,0,"29,649",0,0
80,6307,1364,20250718,0,0,0,"9,782",0,0
24,6307,1328,0,0,0,0,"313,87",0,0
55,6307,0,20250814,0,0,0,1125,0,0
15,6307,1355,20250818,0,0,0,692,0,0
21,6307,1381,20250821,0,0,0,"84,1",0,0
81,6307,0,20250814,0,0,0,46,0,0
82,6307,1386,20250804,0,0,0,248,0,0
82,6307,1429,20250819,0,0,0,"306,01",0,0
83,6307,1429,20250603,0,0,0,780,0,0
15,6307,1354,20250828,0,0,0,1568,0,0
84,6307,1409,20250811,0,0,0,325,0,0
55,6307,1429,20250815,0,0,0,60,0,0
55,6307,1429,20250826,0,0,0,565,0,0
73,6307,1333,20250910,0,0,0,250,0,0
73,6307,1331,20250718,0,0,0,250,0,0
82,6307,1429,20250922,0,0,0,428,0,0
83,6307,1429,20250917,0,0,0,138,0,0
15,6307,1348,20250923,0,0,0,394,0,0
15,6307,1352,20250923,0,0,0,816,0,0
75,6307,0,20250501,0,0,0,"40,593",0,0
75,6307,0,20250601,0,0,0,"40,593",0,0
75,6307,0,20250401,0,0,0,"40,593",0,0
75,6307,0,20250701,0,0,0,"40,593",0,0
75,6307,0,20250801,0,0,0,"40,593",0,0
75,6307,0,20250901,0,0,0,"40,593",0,0
75,6307,0,20251001,0,0,0,"40,593",0,0
55,6307,0,20251027,0,0,0,190,0,0
55,6307,0,20251127,0,0,0,100,0,0
15,6307,0,20251111,0,0,0,387,0,0
15,6307,0,20251111,0,0,0,150,0,0
40,6307,1373,20251129,0,0,0,1153,0,0
40,6307,1429,20250901,0,0,0,2000,0,0
86,6307,1394,20250521,0,0,0,"19,5",0,0
86,6307,1396,20250610,0,0,0,17,0,0
86,6307,1397,20250617,0,0,0,33,0,0
86,6307,1398,20250624,0,0,0,"16,5",0,0
86,6307,1399,20250709,0,0,0,33,0,0
86,6307,1400,20250715,0,0,0,33,0,0
86,6307,1401,20250731,0,0,0,33,0,0
86,6307,1404,20250910,0,0,0,"49,5",0,0
86,6307,1405,20251015,0,0,0,33,0,0
86,6307,1406,20251031,0,0,0,"16,5",0,0
86,6307,1407,20251111,0,0,0,33,0,0
86,6307,1408,20251216,0,0,0,17,0,0
84,6307,1429,20251106,0,0,0,325,0,0
