Fact_financePK,DateFK,CustomerFK,SupplierFk,DocumentFK,Total_HT,Total_TTC
337,0,0,121,79,352,419.88
338,0,0,121,79,352,419.88
339,0,0,121,79,352,419.88
340,0,0,121,89,576,686.44
341,0,0,121,89,576,686.44
342,0,0,121,89,576,686.44
343,0,0,121,89,576,686.44
344,0,0,121,89,576,686.44
345,0,0,121,90,276,329.44
346,0,0,121,90,276,329.44
347,0,0,121,90,276,329.44
348,0,0,121,91,384,457.96
349,0,0,121,91,384,457.96
350,0,0,121,91,384,457.96
351,0,0,121,91,384,457.96
352,0,0,121,91,384,457.96
353,0,0,121,92,320,381.8
354,0,0,121,92,320,381.8
355,0,0,121,92,320,381.8
356,0,0,121,93,484,576.96
357,0,0,121,93,484,576.96
358,0,0,121,93,484,576.96
359,0,0,121,93,484,576.96
360,0,0,121,93,484,576.96
361,0,0,121,93,484,576.96
362,0,0,121,93,484,576.96
363,0,0,121,94,224,267.56
364,0,0,121,94,224,267.56
365,0,0,121,95,352,419.88
366,0,0,121,95,352,419.88
367,0,0,121,95,352,419.88
368,0,0,121,96,605,720.95
369,0,0,121,96,605,720.95
370,0,0,121,96,605,720.95
371,0,0,121,96,605,720.95
372,0,0,121,96,605,720.95
373,0,0,121,97,160,191.4
374,0,0,121,97,160,191.4
375,0,0,121,98,160,191.4
376,0,0,121,98,160,191.4
377,0,0,121,99,224,267.56
378,0,0,121,99,224,267.56
379,0,0,121,99,224,267.56
380,0,0,121,100,256,305.64
381,0,0,121,100,256,305.64
382,0,0,121,100,256,305.64
383,0,0,121,101,303,361.57
384,0,0,121,101,303,361.57
385,0,0,121,101,303,361.57
386,0,0,121,101,303,361.57
387,0,0,121,102,224,267.56
388,0,0,121,102,224,267.56
389,0,0,121,103,192,229.48
390,0,0,121,103,192,229.48
391,0,0,121,104,32,39.08
392,0,0,121,105,128,153.32
393,0,0,121,106,96,115.24
394,0,0,121,107,96,115.24
395,0,0,121,108,470,471
396,0,0,121,108,470,471
397,0,0,121,100,150,179.5
398,0,0,121,109,19500,23206
399,0,0,121,109,19500,23206
400,0,0,121,109,19500,23206
401,0,0,121,109,19500,23206
402,0,0,121,109,19500,23206
403,0,0,121,110,14592.38,17365.926
404,0,0,121,110,14592.38,17365.926
405,0,0,121,110,14592.38,17365.926
406,0,0,121,111,26784,31873.96
407,0,0,121,112,26784,16096.35
408,0,0,121,113,186,222.34
409,0,0,121,114,200,239
410,0,0,121,115,200,239
