"FactShippingPK","dateFK","productFK","customerFK","documentFK","quantity","productPrice","total","deliveryPrice","startDate","endDate","flag"
1146,20250302,6656,374,1224,"2","45","130","8","2026-03-24 20:20:42.343",NULL,"y"
1147,20250302,6643,374,1224,"3","50","130","8","2026-03-24 20:20:42.343",NULL,"y"
1148,20250301,6705,375,1225,"1","129","129","8","2026-03-24 20:20:42.343",NULL,"y"
1149,20250301,6705,376,1226,"1","129","258","0","2026-03-24 20:20:42.343",NULL,"y"
1150,20250301,6705,377,1227,"1","129","129","8","2026-03-24 20:20:42.343",NULL,"y"
1151,20250226,6643,378,1228,"1","50","85","8","2026-03-24 20:20:42.343",NULL,"y"
1152,20250226,6637,378,1228,"2","35","85","8","2026-03-24 20:20:42.343",NULL,"y"
1153,20250226,6651,379,1229,"1","25","25","8","2026-03-24 20:20:42.345",NULL,"y"
1154,20250224,6683,380,1230,"1","92","92","8","2026-03-24 20:20:42.345",NULL,"y"
1155,20250223,6651,381,1231,"1","25","25","8","2026-03-24 20:20:42.345",NULL,"y"
1156,20250221,6662,382,1232,"1","92","92","8","2026-03-24 20:20:42.345",NULL,"y"
1157,20250219,6684,383,1234,"1","20","20","8","2026-03-24 20:20:42.345",NULL,"y"
1158,20250218,6663,384,1235,"1","34","108","8","2026-03-24 20:20:42.345",NULL,"y"
1159,20250218,6654,384,1235,"2","40","108","8","2026-03-24 20:20:42.345",NULL,"y"
1160,20250218,6653,384,1235,"3","34","108","8","2026-03-24 20:20:42.345",NULL,"y"
1161,20250215,6662,385,1236,"1","92","92","8","2026-03-24 20:20:42.345",NULL,"y"
1162,20250215,6630,386,1237,"1","50","100","8","2026-03-24 20:20:42.345",NULL,"y"
1163,20250215,6706,386,1237,"2","50","100","8","2026-03-24 20:20:42.345",NULL,"y"
1164,20250214,6651,387,1238,"1","25","25","8","2026-03-24 20:20:42.345",NULL,"y"
1165,20250214,6651,388,1239,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1166,20250214,6638,389,1240,"1","45","95","8","2026-03-24 20:20:42.346",NULL,"y"
1167,20250214,6688,389,1240,"2","15","95","8","2026-03-24 20:20:42.346",NULL,"y"
1168,20250214,6631,389,1240,"3","15","95","8","2026-03-24 20:20:42.346",NULL,"y"
1169,20250214,6689,389,1240,"4","20","95","8","2026-03-24 20:20:42.346",NULL,"y"
1170,20250213,6650,390,1241,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1171,20250213,6630,391,1242,"1","50","50","8","2026-03-24 20:20:42.346",NULL,"y"
1172,20250213,6650,392,1243,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1173,20250213,6630,393,1244,"1","50","50","8","2026-03-24 20:20:42.346",NULL,"y"
1174,20250213,6630,394,1245,"1","50","50","8","2026-03-24 20:20:42.346",NULL,"y"
1175,20250213,6577,395,1246,"1","25","50","8","2026-03-24 20:20:42.346",NULL,"y"
1176,20250213,6650,395,1246,"2","25","50","8","2026-03-24 20:20:42.346",NULL,"y"
1177,20250213,6651,396,1247,"1","25","50","8","2026-03-24 20:20:42.346",NULL,"y"
1178,20250213,6577,397,1248,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1179,20250213,6577,398,1249,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1180,20250213,6651,399,1250,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1181,20250213,6651,400,1251,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1182,20250213,6630,401,1252,"1","50","50","8","2026-03-24 20:20:42.346",NULL,"y"
1183,20250213,6651,402,1253,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1184,20250213,6651,403,1254,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1185,20250213,6630,404,1255,"1","50","50","8","2026-03-24 20:20:42.346",NULL,"y"
1186,20250213,6577,405,1256,"1","25","50","8","2026-03-24 20:20:42.346",NULL,"y"
1187,20250213,6699,406,1257,"1","85","115","8","2026-03-24 20:20:42.346",NULL,"y"
1188,20250213,6647,406,1257,"2","30","115","8","2026-03-24 20:20:42.346",NULL,"y"
1189,20250213,6577,407,1258,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1190,20250213,6630,408,1259,"1","50","50","8","2026-03-24 20:20:42.346",NULL,"y"
1191,20250213,6704,409,1260,"1","90","106,5","8","2026-03-24 20:20:42.346",NULL,"y"
1192,20250213,6698,409,1260,"2","16,5","106,5","8","2026-03-24 20:20:42.346",NULL,"y"
1193,20250213,6651,410,1261,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1194,20250213,6651,411,1262,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1195,20250213,6650,412,1263,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1196,20250213,6707,413,1264,"1","60","60","8","2026-03-24 20:20:42.346",NULL,"y"
1197,20250213,6651,414,1265,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1198,20250212,6651,223,1266,"1","25","50","8","2026-03-24 20:20:42.346",NULL,"y"
1199,20250212,6577,223,1266,"2","25","50","8","2026-03-24 20:20:42.346",NULL,"y"
1200,20250212,6651,415,1267,"1","25","25","8","2026-03-24 20:20:42.346",NULL,"y"
1201,20250212,6651,416,1268,"1","20","150","8","2026-03-24 20:20:42.346",NULL,"y"
1202,20250212,6577,416,1268,"2","20","150","8","2026-03-24 20:20:42.346",NULL,"y"
1203,20250212,6650,416,1268,"3","20","150","8","2026-03-24 20:20:42.346",NULL,"y"
1204,20250212,6630,417,1269,"1","50","50","8","2026-03-24 20:20:42.346",NULL,"y"
1205,20250212,6630,418,1270,"1","50","100","0","2026-03-24 20:20:42.346",NULL,"y"
